xxxxx    course_1   course_2    course_3    course_4    course_5
stu_0    87         53          83          57          93
stu_1    78         89          53          83          53
stu_2    97         93          85          73          94
stu_3    56         76          91          63          16
stu_4    83         83          74          84          93
stu_5    67         87          63          93          84
stu_6    73         83          93          73          81
stu_7    74         32          78          53          84
stu_8    16         63          84          93          82
stu_9    73         81          73          92          83
